INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING
168,T,230513,141014,52.8351684N,1.3119993W,67,0.0,124
169,T,230513,141014,52.8351684N,1.3119993W,67,0.0,124
170,T,230513,141015,52.8351684N,1.3119993W,68,0.0,124
171,T,230513,141015,52.8351684N,1.3119994W,67,0.0,124
172,T,230513,141015,52.8351684N,1.3119994W,67,0.0,124
173,T,230513,141015,52.8351684N,1.3119994W,67,0.0,124
174,T,230513,141015,52.8351684N,1.3119994W,67,0.0,124
175,T,230513,141016,52.8351684N,1.3119993W,67,0.0,124
176,T,230513,141016,52.8351684N,1.3119993W,67,0.0,124
177,T,230513,141016,52.8351683N,1.3119993W,67,0.0,124
178,T,230513,141016,52.8351684N,1.3119993W,67,0.0,124
179,T,230513,141016,52.8351684N,1.3119993W,67,0.0,124
180,T,230513,141017,52.8351684N,1.3119993W,67,0.0,124
181,T,230513,141017,52.8351684N,1.3119993W,67,0.0,124
182,T,230513,141017,52.8351684N,1.3119992W,67,0.0,124
183,T,230513,141017,52.8351684N,1.3119992W,67,0.0,124
184,T,230513,141017,52.8351684N,1.3119994W,67,0.0,124
185,T,230513,141018,52.8351684N,1.3119993W,67,0.0,124
186,T,230513,141018,52.8351684N,1.3119993W,67,0.0,124
187,T,230513,141018,52.8351684N,1.3119993W,67,0.0,124
188,T,230513,141018,52.8351683N,1.3119993W,67,0.0,124
189,T,230513,141018,52.8351684N,1.3119993W,67,0.0,124
190,T,230513,141019,52.8351684N,1.3119993W,67,0.1,124
191,T,230513,141019,52.8351683N,1.3119994W,68,0.1,124
192,T,230513,141019,52.8351683N,1.3119993W,67,0.1,124
193,T,230513,141019,52.8351684N,1.3119993W,67,0.1,124
194,T,230513,141019,52.8351683N,1.3119993W,67,0.1,124
195,T,230513,141020,52.8351684N,1.3119993W,68,0.0,124
196,T,230513,141020,52.8351684N,1.3119993W,67,0.0,124
197,T,230513,141020,52.8351684N,1.3119993W,68,0.0,124
198,T,230513,141020,52.8351683N,1.3119993W,68,0.0,124
199,T,230513,141020,52.8351683N,1.3119993W,68,0.0,124
200,T,230513,141021,52.8351684N,1.3119993W,68,0.0,124
201,T,230513,141021,52.8351683N,1.3119993W,68,0.0,124
202,T,230513,141021,52.8351683N,1.3119993W,68,0.0,124
203,T,230513,141021,52.8351683N,1.3119993W,68,0.0,124
204,T,230513,141021,52.8351683N,1.3119993W,68,0.0,124
205,T,230513,141022,52.8351684N,1.3119993W,68,0.0,124
206,T,230513,141022,52.8351683N,1.3119993W,68,0.0,124
207,T,230513,141022,52.8351684N,1.3119993W,68,0.0,124
208,T,230513,141022,52.8351684N,1.3119993W,68,0.0,124
209,T,230513,141022,52.8351683N,1.3119993W,68,0.0,124
210,T,230513,141023,52.8351684N,1.3119993W,68,0.1,124
211,T,230513,141023,52.8351684N,1.3119994W,68,0.1,124
212,T,230513,141023,52.8351684N,1.3119993W,68,0.1,124
213,T,230513,141023,52.8351684N,1.3119993W,68,0.1,124
214,T,230513,141023,52.8351684N,1.3119993W,68,0.1,124
215,T,230513,141024,52.8351684N,1.3119993W,68,0.0,124
216,T,230513,141024,52.8351683N,1.3119993W,68,0.0,124
217,T,230513,141024,52.8351684N,1.3119993W,68,0.0,124
218,T,230513,141024,52.8351686N,1.3119994W,68,0.0,124
219,T,230513,141024,52.8351684N,1.3119993W,68,0.0,124
220,T,230513,141025,52.8351684N,1.3119993W,68,0.1,124
221,T,230513,141025,52.8351684N,1.3119992W,68,0.1,124
222,T,230513,141025,52.8351684N,1.3119992W,68,0.1,124
223,T,230513,141025,52.8351686N,1.3119992W,68,0.1,124
224,T,230513,141025,52.8351686N,1.3119992W,68,0.1,124
225,T,230513,141026,52.8351684N,1.3119993W,68,0.0,124
226,T,230513,141026,52.8351684N,1.3119993W,68,0.0,124
227,T,230513,141026,52.8351684N,1.3119994W,68,0.0,124
228,T,230513,141026,52.8351684N,1.3119993W,68,0.0,124
229,T,230513,141026,52.8351684N,1.3119994W,68,0.0,124
230,T,230513,141027,52.8351684N,1.3119993W,68,0.0,124
231,T,230513,141027,52.8351683N,1.3119994W,68,0.0,124
232,T,230513,141027,52.8351684N,1.3119994W,68,0.0,124
233,T,230513,141027,52.8351686N,1.3119994W,68,0.0,124
234,T,230513,141027,52.8351686N,1.3119993W,68,0.0,124
235,T,230513,141028,52.8351684N,1.3119993W,68,0.1,124
236,T,230513,141028,52.8351684N,1.3119993W,68,0.1,124
237,T,230513,141028,52.8351684N,1.3119993W,68,0.1,124
238,T,230513,141028,52.8351684N,1.3119993W,68,0.1,124
239,T,230513,141028,52.8351686N,1.3119993W,68,0.1,124
240,T,230513,141029,52.8351684N,1.3119993W,68,0.0,124
241,T,230513,141029,52.8351683N,1.3119993W,68,0.0,124
242,T,230513,141029,52.8351684N,1.3119993W,68,0.0,124
243,T,230513,141029,52.8351684N,1.3119993W,68,0.0,124
244,T,230513,141029,52.8351684N,1.3119994W,68,0.0,124
245,T,230513,141030,52.8351684N,1.3119993W,68,0.1,124
246,T,230513,141030,52.8351684N,1.3119993W,68,0.1,124
247,T,230513,141030,52.8351683N,1.3119993W,68,0.1,124
248,T,230513,141030,52.8351683N,1.3119995W,68,0.1,124
249,T,230513,141030,52.8351683N,1.3119996W,68,0.1,124
250,T,230513,141031,52.8351684N,1.3119993W,68,0.0,124
251,T,230513,141031,52.8351684N,1.3119993W,68,0.0,124
252,T,230513,141031,52.8351684N,1.3119993W,68,0.0,124
253,T,230513,141031,52.8351684N,1.3119993W,68,0.0,124
254,T,230513,141031,52.8351684N,1.3119993W,68,0.0,124
255,T,230513,141032,52.8351684N,1.3119993W,68,0.0,124
256,T,230513,141032,52.8351684N,1.3119993W,68,0.0,124
257,T,230513,141032,52.8351684N,1.3119994W,68,0.0,124
258,T,230513,141032,52.8351684N,1.3119994W,68,0.0,124
259,T,230513,141032,52.8351684N,1.3119993W,68,0.0,124
260,T,230513,141033,52.8351684N,1.3119993W,68,0.0,124
261,T,230513,141033,52.8351684N,1.3119993W,68,0.0,124
262,T,230513,141033,52.8351684N,1.3119993W,68,0.0,124
263,T,230513,141033,52.8351683N,1.3119993W,68,0.0,124
264,T,230513,141033,52.8351684N,1.3119993W,68,0.0,124
265,T,230513,141034,52.8351684N,1.3119993W,68,0.0,124
266,T,230513,141034,52.8351683N,1.3119993W,68,0.0,124
267,T,230513,141034,52.8351684N,1.3119993W,68,0.0,124
268,T,230513,141034,52.8351684N,1.3119993W,68,0.0,124
269,T,230513,141034,52.8351683N,1.3119993W,68,0.0,124
270,T,230513,141035,52.8351684N,1.3119993W,68,0.0,124
271,T,230513,141035,52.8351684N,1.3119993W,68,0.0,124
272,T,230513,141035,52.8351684N,1.3119993W,68,0.0,124
273,T,230513,141035,52.8351684N,1.3119993W,68,0.0,124
274,T,230513,141035,52.8351684N,1.3119993W,68,0.0,124
275,T,230513,141036,52.8351684N,1.3119993W,68,0.0,124
276,T,230513,141036,52.8351683N,1.3119994W,68,0.0,124
277,T,230513,141036,52.8351683N,1.3119994W,68,0.0,124
278,T,230513,141036,52.8351684N,1.3119994W,68,0.0,124
279,T,230513,141036,52.8351683N,1.3119993W,68,0.0,124
280,T,230513,141037,52.8351684N,1.3119993W,68,0.5,124
281,T,230513,141037,52.8351683N,1.3119993W,68,0.5,124
282,T,230513,141037,52.8351683N,1.3119993W,68,0.5,124
283,T,230513,141037,52.8351683N,1.3119993W,68,0.5,124
284,T,230513,141037,52.8351683N,1.3119993W,68,0.5,124
285,T,230513,141038,52.8351684N,1.3119993W,68,0.0,124
286,T,230513,141038,52.8351683N,1.3119993W,68,0.0,124
287,T,230513,141038,52.8351684N,1.3119993W,68,0.0,124
288,T,230513,141038,52.8351684N,1.3119994W,68,0.0,124
289,T,230513,141038,52.8351684N,1.3119993W,68,0.0,124
290,T,230513,141039,52.8351684N,1.3119993W,68,0.0,124
291,T,230513,141039,52.8351683N,1.3119993W,68,0.0,124
292,T,230513,141039,52.8351684N,1.3119993W,68,0.0,124
293,T,230513,141039,52.8351683N,1.3119993W,68,0.0,124
294,T,230513,141039,52.8351683N,1.3119993W,68,0.0,124
295,T,230513,141040,52.8351684N,1.3119993W,68,0.1,124
296,T,230513,141040,52.8351682N,1.3119993W,68,0.1,124
297,T,230513,141040,52.8351683N,1.3119993W,68,0.1,124
298,T,230513,141040,52.8351683N,1.3119993W,68,0.1,124
299,T,230513,141040,52.8351682N,1.3119993W,68,0.1,124
300,T,230513,141041,52.8351684N,1.3119993W,68,0.0,124
301,T,230513,141041,52.8351683N,1.3119994W,68,0.0,124
302,T,230513,141041,52.8351683N,1.3119993W,68,0.0,124
303,T,230513,141041,52.8351683N,1.3119993W,68,0.0,124
304,T,230513,141041,52.8351683N,1.3119993W,68,0.0,124
305,T,230513,141042,52.8351684N,1.3119993W,68,0.0,124
306,T,230513,141042,52.8351688N,1.3119993W,68,0.0,124
307,T,230513,141042,52.8351688N,1.3119993W,68,0.0,124
308,T,230513,141042,52.8351688N,1.3119993W,68,0.0,124
309,T,230513,141042,52.8351688N,1.3119993W,68,0.0,124
310,T,230513,141043,52.8351684N,1.3119993W,68,0.1,124
311,T,230513,141043,52.8351684N,1.3119993W,68,0.1,124
312,T,230513,141043,52.8351684N,1.3119993W,68,0.1,124
313,T,230513,141043,52.8351684N,1.3119994W,68,0.1,124
314,T,230513,141043,52.8351684N,1.3119993W,68,0.1,124
315,T,230513,141044,52.8351684N,1.3119993W,68,0.0,124
316,T,230513,141044,52.8351683N,1.3119993W,68,0.0,124
317,T,230513,141044,52.8351684N,1.3119993W,68,0.0,124
318,T,230513,141044,52.8351683N,1.3119993W,68,0.0,124
319,T,230513,141044,52.8351683N,1.3119993W,68,0.0,124
320,T,230513,141045,52.8351684N,1.3119993W,68,0.7,124
321,T,230513,141045,52.8351688N,1.3119992W,68,0.7,124
322,T,230513,141045,52.8351687N,1.3119993W,68,0.7,124
323,T,230513,141045,52.8351687N,1.3119992W,68,0.7,124
324,T,230513,141045,52.8351687N,1.3119993W,68,0.7,124
325,T,230513,141046,52.8351684N,1.3119993W,68,0.0,124
326,T,230513,141046,52.8351683N,1.3119993W,68,0.0,124
327,T,230513,141046,52.8351683N,1.3119993W,68,0.0,124
328,T,230513,141046,52.8351683N,1.3119993W,68,0.0,124
329,T,230513,141046,52.8351683N,1.3119993W,68,0.0,124
330,T,230513,141047,52.8351684N,1.3119993W,68,0.0,124
331,T,230513,141047,52.8351684N,1.3119993W,68,0.0,124
332,T,230513,141047,52.8351684N,1.3119993W,68,0.0,124
333,T,230513,141047,52.8351683N,1.3119993W,68,0.0,124
334,T,230513,141047,52.8351684N,1.3119993W,68,0.0,124
335,T,230513,141048,52.8351684N,1.3119993W,68,0.0,124
336,T,230513,141048,52.8351683N,1.3119993W,68,0.0,124
337,T,230513,141048,52.8351683N,1.3119993W,68,0.0,124
338,T,230513,141048,52.8351683N,1.3119993W,68,0.0,124
339,T,230513,141048,52.8351683N,1.3119993W,68,0.0,124
340,T,230513,141049,52.8351684N,1.3119993W,68,0.0,124
341,T,230513,141049,52.8351684N,1.3119993W,68,0.0,124
342,T,230513,141049,52.8351684N,1.3119993W,68,0.0,124
343,T,230513,141049,52.8351684N,1.3119993W,68,0.0,124
344,T,230513,141049,52.8351684N,1.3119993W,68,0.0,124
345,T,230513,141050,52.8351684N,1.3119993W,68,0.0,124
346,T,230513,141050,52.8351684N,1.3119994W,68,0.0,124
347,T,230513,141050,52.8351684N,1.3119993W,68,0.0,124
348,T,230513,141050,52.8351683N,1.3119993W,68,0.0,124
349,T,230513,141050,52.8351684N,1.3119993W,68,0.0,124
350,T,230513,141051,52.8351684N,1.3119993W,68,0.0,124
351,T,230513,141051,52.8351683N,1.3119994W,68,0.0,124
352,T,230513,141051,52.8351683N,1.3119994W,68,0.0,124
353,T,230513,141051,52.8351683N,1.3119994W,68,0.0,124
354,T,230513,141051,52.8351683N,1.3119994W,68,0.0,124
355,T,230513,141052,52.8351684N,1.3119993W,68,0.1,124
356,T,230513,141052,52.8351683N,1.3119994W,68,0.1,124
357,T,230513,141052,52.8351683N,1.3119994W,68,0.1,124
358,T,230513,141052,52.8351684N,1.3119994W,68,0.1,124
359,T,230513,141052,52.8351683N,1.3119994W,68,0.1,124
360,T,230513,141053,52.8351684N,1.3119993W,67,0.0,124
361,T,230513,141053,52.8351684N,1.3119993W,67,0.0,124
362,T,230513,141053,52.8351684N,1.3119993W,67,0.0,124
363,T,230513,141053,52.8351684N,1.3119993W,67,0.0,124
364,T,230513,141053,52.8351684N,1.3119994W,67,0.0,124
365,T,230513,141054,52.8351684N,1.3119993W,67,0.0,124
366,T,230513,141054,52.8351684N,1.3119993W,67,0.0,124
367,T,230513,141054,52.8351684N,1.3119993W,67,0.0,124
368,T,230513,141054,52.8351683N,1.3119993W,67,0.0,124
369,T,230513,141054,52.8351684N,1.3119993W,67,0.0,124
370,T,230513,141055,52.8351684N,1.3119993W,67,0.0,124
371,T,230513,141055,52.8351683N,1.3119993W,67,0.0,124
372,T,230513,141055,52.8351684N,1.3119993W,67,0.0,124
373,T,230513,141055,52.8351684N,1.3119993W,67,0.0,124
374,T,230513,141055,52.8351684N,1.3119993W,67,0.0,124
375,T,230513,141056,52.8351684N,1.3119993W,67,0.0,124
376,T,230513,141056,52.8351683N,1.3119993W,67,0.0,124
377,T,230513,141056,52.8351684N,1.3119993W,67,0.0,124
378,T,230513,141056,52.8351684N,1.3119993W,67,0.0,124
379,T,230513,141056,52.8351684N,1.3119994W,67,0.0,124
380,T,230513,141057,52.8351684N,1.3119993W,67,0.0,124
381,T,230513,141057,52.8351684N,1.3119993W,67,0.0,124
382,T,230513,141057,52.8351684N,1.3119993W,67,0.0,124
383,T,230513,141057,52.8351684N,1.3119993W,67,0.0,124
384,T,230513,141057,52.8351684N,1.3119994W,67,0.0,124
385,T,230513,141058,52.8351684N,1.3119993W,67,0.0,124
386,T,230513,141058,52.8351688N,1.3119993W,67,0.0,124
387,T,230513,141058,52.8351688N,1.3119993W,67,0.0,124
388,T,230513,141058,52.8351688N,1.3119993W,67,0.0,124
389,T,230513,141058,52.8351688N,1.3119993W,67,0.0,124
390,T,230513,141059,52.8351684N,1.3119993W,67,0.0,124
391,T,230513,141059,52.8351684N,1.3119993W,67,0.0,124
392,T,230513,141059,52.8351684N,1.3119993W,67,0.0,124
393,T,230513,141059,52.8351684N,1.3119993W,67,0.0,124
394,T,230513,141059,52.8351683N,1.3119993W,67,0.0,124
395,T,230513,141100,52.8351684N,1.3119993W,67,0.1,124
396,T,230513,141100,52.8351683N,1.3119993W,67,0.1,124
397,T,230513,141100,52.8351684N,1.3119993W,67,0.1,124
398,T,230513,141100,52.8351683N,1.3119993W,67,0.1,124
399,T,230513,141100,52.8351684N,1.3119993W,67,0.1,124
400,T,230513,141101,52.8351684N,1.3119993W,67,0.0,124
401,T,230513,141101,52.8351684N,1.3119993W,67,0.0,124
402,T,230513,141101,52.8351683N,1.3119992W,67,0.0,124
403,T,230513,141101,52.8351684N,1.3119993W,67,0.0,124
404,T,230513,141101,52.8351684N,1.3119992W,67,0.0,124
405,T,230513,141102,52.8351684N,1.3119993W,67,0.0,124
406,T,230513,141102,52.8351683N,1.3119993W,67,0.0,124
407,T,230513,141102,52.8351684N,1.3119993W,67,0.0,124
